,Trans_desc_brand,Prediction
25,RECUR DEBIT CRD PMT11/11 IDT*LONG DISTANCE       111-111-1111  NJ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11IDT*LONG DISTANCE,Communication Services
26,CHECK CRD PUR RTRN 11/11 UPS*111111111F          111-111-1111  GA 111111XXXXXX1111 111111111111111                               ?MCC=1111UPS*111111111F,Retail Trade
27,CHECK CRD PURCHASE 11/11 AT&T S11K 11111         PLEASANTON    CA 111111XXXXXX1111 111111111111111                               ?MCC=1111AT&T S11K 11111,Communication Services
28,CHECK CRD PURCHASE 11/11 FEDEXOFFICE   11111111  MESA          AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11FEDEXOFFICE   11111111,Retail Trade
29,CHECK CRD PURCHASE 11/11 TM *US NATIONAL SOCCER  111-111-1111  CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11TM *US NATIONAL SOCCER,Entertainment
30,RECUR DEBIT CRD PMT11/11 METROPCS RECURRING      111-1METRO1   TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11METROPCS RECURRING,Retail Trade
31,CHECK CRD PURCHASE 11/11 AT & T SPORTS CENTER    111-111-1111  AK 111111XXXXXX1111 111111111111111                               ?MCC=1111 11AT & T SPORTS CENTER,Retail Trade
32,CHECK CRD PURCHASE 11/11 POST ALL                MIDDLETOWN    RI 111111XXXXXX1111 111111111111111                               ?MCC=1111 11POST ALL,Retail Trade
33,RECUR DEBIT CRD PMT11/11 SUDDENLINK COMMUNICTNS  111-111-1111  CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SUDDENLINK COMMUNICTNS,Retail Trade
34,CHECK CRD PURCHASE 11/11 SUDDENLINK COMMUNI      111-111-1111  CA 111111XXXXXX1111 111111111111111                               ?MCC=1111SUDDENLINK COMMUNI,Retail Trade
35,CHECK CRD PURCHASE 11/11 MP1 ELEVATION           111-1111111   NY 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MP1 ELEVATION,Retail Trade
36,CHECK CRD PURCHASE 11/11 SPRINT GRAPEVINE M      GRAPEVINE     TX 111111XXXXXX1111 111111111111111                               ?MCC=1111SPRINT GRAPEVINE M,Entertainment
37,CHECK CRD PURCHASE 11/11 AT&T 1NRT 11111         NORTON        VA 111111XXXXXX1111 111111111111111                               ?MCC=1111AT&T 1NRT 11111,Communication Services
38,CHECK CRD PURCHASE 11/11 PONY MAILBOXES AND BUS  HENDERSONVILL TN 111111XXXXXX1111 111111111111111                               ?MCC=1111 11PONY MAILBOXES AND BUS,Travel
39,CHECK CRD PURCHASE 11/11 X MISSION               111-1111111   UT 111111XXXXXX1111 111111111111111                               ?MCC=1111 11X MISSION,Retail Trade
40,CHECK CRD PURCHASE 11/11 HIGH DEFINITION SATELL  SOUTH JORDAN  UT 111111XXXXXX1111 111111111111111                               ?MCC=1111 11HIGH DEFINITION SATELL,Retail Trade
41,CHECK CRD PURCHASE 11/11 AIRPORTKELLE*Oct11      111-1111111   CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11AIRPORTKELLE*Oct11,Retail Trade
42,CHECK CRD PURCHASE 11/11 EZ PAY CORP             111-111-1111  MI 111111XXXXXX1111 111111111111111                               ?MCC=1111 11EZ PAY CORP,Retail Trade
43,CHECK CRD PURCHASE 11/11 UPS*11111V111A          111-111-1111  GA 111111XXXXXX1111 111111111111111                               ?MCC=1111UPS*11111V111A,Retail Trade
44,CHECK CRD PURCHASE 11/11 ALLTEL - BISMARCK       BISMARCK      ND 111111XXXXXX1111 111111111111111                               ?MCC=1111 11ALLTEL - BISMARCK,Retail Trade
45,RECUR DEBIT CRD PMT11/11 INTEGRITY ONLINE        111-111-1111  AL 111111XXXXXX1111 111111111111111                               ?MCC=1111 11INTEGRITY ONLINE,Retail Trade
46,CHECK CRD PUR RTRN 11/11 TANGACOM                111-111-1111  AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111TANGACOM,Retail Trade
47,RECUR DEBIT CRD PMT11/11 AT&T*111111111111M      111-111-1111  GA 111111XXXXXX1111 111111111111111                               ?MCC=1111AT&T*111111111111M,Communication Services
48,CHECK CRD PUR RTRN 11/11 ARCH TELECOM INC NORTH  SEATTLE       WA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11ARCH TELECOM INC NORTH,Retail Trade
49,CHECK CRD PURCHASE 11/11 CWI*CALLWAVE            111-111-1111  CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11CWI*CALLWAVE,Retail Trade
50,CHECK CRD PURCHASE 11/11 POSTAL CENTER           RCHO STA MARG CA 111111XXXXXX1111 111111111111111                               ?MCC=1111POSTAL CENTER,Communication Services
51,CHECK CRD PURCHASE 11/11 VZWRLSS*N1111-11        111-111-1111  GA 111111XXXXXX1111 111111111111111                               ?MCC=1111VZWRLSS*N1111-11,Retail Trade
52,CHECK CRD PURCHASE 11/11 ACCWIZ                  111-111-1111  NJ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11ACCWIZ,Retail Trade
53,CHECK CRD PURCHASE 11/11 MAIL CENTER             WESTAMPTON    NJ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MAIL CENTER,Retail Trade
54,CHECK CRD PURCHASE 11/11 VINFILLMENT LLC         111-111-1111  CA 111111XXXXXX1111 111111111111111                               ?MCC=1111VINFILLMENT LLC,Retail Trade
55,RECUR DEBIT CRD PMT11/11 SKYBEAM TEXAS           111-1111111   TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SKYBEAM TEXAS,Communication Services
56,CHECK CRD PURCHASE 11/11 SHEA SHIP & POST        PHOENIX       AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SHEA SHIP & POST,Retail Trade
57,DEBIT CRD PUR INTL 11/11 TELCEL AGUA PRIETA      AGUA PRIETA   MX 111111XXXXXX1111 111111111111111                               ?MCC=1111TELCEL AGUA PRIETA,Retail Trade
58,CHECK CRD PURCHASE 11/11 THE BOX SHOP            LA MESA       CA 111111XXXXXX1111 111111111111111                               ?MCC=1111THE BOX SHOP,Retail Trade
59,CHECK CRD PURCHASE 11/11 MAIL & MORE             PHOENIX       AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MAIL & MORE,Retail Trade
60,CHECK CRD PURCHASE 11/11 PACK CENTER SHIPPING    CRAIG         CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11PACK CENTER SHIPPING,Retail Trade
61,RECUR DEBIT CRD PMT11/11 NETWORLD INTERNET SERV  111-111-1111  UT 111111XXXXXX1111 111111111111111                               ?MCC=1111 11NETWORLD INTERNET SERV,Retail Trade
62,CHECK CRD PURCHASE 11/11 UPS POSTAL PLUS         VICTORVILLE   CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11UPS POSTAL PLUS,Communication Services
63,CHECK CRD PURCHASE 11/11 MAILMAN JOEYS           VIERA         FL 111111XXXXXX1111 111111111111111                               ?MCC=1111MAILMAN JOEYS,Entertainment
64,RECUR DEBIT CRD PMT11/11 AF CONNECT              AMERICAN FORK UT 111111XXXXXX1111 111111111111111                               ?MCC=1111 11AF CONNECT,Retail Trade
65,CHECK CRD PURCHASE 11/11 HOMIES PHONE CARDS      111-1111111   FL 111111XXXXXX1111 111111111111111                               ?MCC=1111 11HOMIES PHONE CARDS,Retail Trade
66,DEBIT CRD PUR INTL 11/11 DHL EXPRESS INDIA       MUMBAI        II 111111XXXXXX1111 111111111111111                               ?MCC=1111DHL EXPRESS INDIA,Entertainment
67,CHECK CRD PURCHASE 11/11 POSTAL PROS             LAS VEGAS     NV 111111XXXXXX1111 111111111111111                               ?MCC=1111 11POSTAL PROS,Communication Services
68,CHECK CRD PURCHASE 11/11 AT&T T11A 1111          SAN ANTONIO   TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11AT&T T11A 1111,Retail Trade
69,RECUR DEBIT CRD PMT11/11 RESORT INTERNET         WWW.RESORTINT CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11RESORT INTERNET,Travel
70,CHECK CRD PUR RTRN 11/11 INDIAN WELLS TRADING P  INDIAN WELLS  AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11INDIAN WELLS TRADING P,Retail Trade
71,CHECK CRD PURCHASE 11/11 NMU TEMAKI AND TEA      MARQUETTE     TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11NMU TEMAKI AND TEA,Retail Trade
72,CHECK CRD PURCHASE 11/11 WU DEVELOPMENT ONLINE   111-111-1111  OR 111111XXXXXX1111 111111111111111                               ?MCC=1111 11WU DEVELOPMENT ONLINE,Retail Trade
73,CHECK CRD PURCHASE 11/11 MDC NORTH CAFE1111      MIAMI         FL 111111XXXXXX1111 111111111111111                               ?MCC=1111MDC NORTH CAFE1111,Retail Trade
74,CHECK CRD PUR RTRN 11/11 ONLINE EDUC & TRAI      CEDAR PARK    TX 111111XXXXXX1111 111111111111111                               ?MCC=1111ONLINE EDUC & TRAI,Retail Trade
75,CHECK CRD PURCHASE 11/11 SUU CENTRUM             111-1111111   UT 111111XXXXXX1111 111111111111111                               ?MCC=1111SUU CENTRUM,Retail Trade
76,CHECK CRD PURCHASE 11/11 SCOTT COURT:CN          111-111-1111  NE 111111XXXXXX1111 111111111111111                               ?MCC=1111SCOTT COURT:CN,Entertainment
77,CHECK CRD PURCHASE 11/11 1 D BABY PHOTO          HENDERSON     NV 111111XXXXXX1111 111111111111111                               ?MCC=1111 111 D BABY PHOTO,Retail Trade
78,CHECK CRD PURCHASE 11/11 WESLEY COLLEGE HQ       DOVER         DE 111111XXXXXX1111 111111111111111                               ?MCC=1111 11WESLEY COLLEGE HQ,Retail Trade
79,CHECK CRD PURCHASE 11/11 LANSING COMM COLLEGE    LANSING       MI 111111XXXXXX1111 111111111111111                               ?MCC=1111 11LANSING COMM COLLEGE,Retail Trade
80,CHECK CRD PURCHASE 11/11 U OF A HEALTH SVCS      AKRON         OH 111111XXXXXX1111 111111111111111                               ?MCC=1111 11U OF A HEALTH SVCS,Health and Community Services
81,CHECK CRD PURCHASE 11/11 MSU TICKETSWEST         BOZEMAN       MT 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MSU TICKETSWEST,Retail Trade
82,CHECK CRD PURCHASE 11/11 NAU RECREATION CENTER   FLAGSTAFF     AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11NAU RECREATION CENTER,Retail Trade
83,CHECK CRD PURCHASE 11/11 VALE MIDDLE             myLunchMoney. TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11VALE MIDDLE,Education
84,CHECK CRD PURCHASE 11/11 GSIS          11111111  DENVER        CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11GSIS          11111111,Retail Trade
85,CHECK CRD PURCHASE 11/11 Lit'l Scholars Daycare  Taylorsville  UT 111111XXXXXX1111 111111111111111                               ?MCC=1111 11Lit'l Scholars Daycare,Retail Trade
86,DEBIT CRD PURCHASE 11/11 UNIVERSIDAD EVANGE      SAN SALVADOR  SV 111111XXXXXX1111 111111111111111                               ?MCC=1111UNIVERSIDAD EVANGE,Services to Transport
87,CHECK CRD PURCHASE 11/11 CONWAY PUBLIC SCHOOLS   111-111-1111  AR 111111XXXXXX1111 111111111111111                               ?MCC=1111 11CONWAY PUBLIC SCHOOLS,Retail Trade
88,CHECK CRD PURCHASE 11/11 TRAFFIC111.COM INC      111-111-1111  CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11TRAFFIC111.COM INC,Retail Trade
89,CHECK CRD PURCHASE 11/11 WBU-SIERRA VISTA        SIERRA VISTA  AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11WBU-SIERRA VISTA,Retail Trade
90,CHECK CRD PURCHASE 11/11 ADAMS 11 BASE PROGRAM   THORNTON      CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11ADAMS 11 BASE PROGRAM,Retail Trade
91,CHECK CRD PURCHASE 11/11 WM PUBLIC SCHOOLS       111-111-1111  MN 111111XXXXXX1111 111111111111111                               ?MCC=1111WM PUBLIC SCHOOLS,Retail Trade
92,CHECK CRD PURCHASE 11/11 UNIV OF PHX PPLAN       111-111-1111  AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11UNIV OF PHX PPLAN,Retail Trade
93,CHECK CRD PURCHASE 11/11 Columbia Uni 11 Au      Maumaelle     AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111Columbia Uni 11 Au,Retail Trade
94,CHECK CRD PURCHASE 11/11 NCSU ALL CAMPUS MI      RALEIGH       NC 111111XXXXXX1111 111111111111111                               ?MCC=1111NCSU ALL CAMPUS MI,Retail Trade
95,CHECK CRD PURCHASE 11/11 WSC FOUNDATION DMV OFF  WILLISTON     ND 111111XXXXXX1111 111111111111111                               ?MCC=1111 11WSC FOUNDATION DMV OFF,Retail Trade
96,CHECK CRD PURCHASE 11/11 EST_IRS_TAX_FORUMS      111-1111111   MD 111111XXXXXX1111 111111111111111                               ?MCC=1111 11EST_IRS_TAX_FORUMS,Health and Community Services
97,CHECK CRD PURCHASE 11/11 VENTURE 1111111111LLC   111-1111111   AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11VENTURE 1111111111LLC,Retail Trade
98,CHECK CRD PUR RTRN 11/11 MCCCD SOUTH MTN         PHOENIX       AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MCCCD SOUTH MTN,Retail Trade
99,CHECK CRD PURCHASE 11/11 WESTERN INTL WIU-PPLAN  111-111-1111  AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11WESTERN INTL WIU-PPLAN,Retail Trade
100,CHECK CRD PURCHASE 11/11 EDU TRANING SPECIALIST  111-1111111   AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11EDU TRANING SPECIALIST,Retail Trade
101,CHECK CRD PURCHASE 11/11 BILTMORE KUMON MATH AN  PHOENIX       AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11BILTMORE KUMON MATH AN,Retail Trade
102,CHECK CRD PURCHASE 11/11 IOWA STATE U -VEENKER   AMES          IA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11IOWA STATE U -VEENKER,Retail Trade
103,CHECK CRD PURCHASE 11/11 UCB CAL ATHLETICS       111-111-1111  CA 111111XXXXXX1111 111111111111111                               ?MCC=1111UCB CAL ATHLETICS,Retail Trade
104,CHECK CRD PURCHASE 11/11 GCISDSCHOOLS-WEB        111-111-1111  TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11GCISDSCHOOLS-WEB,Retail Trade
105,CHECK CRD PURCHASE 11/11 VT VETERINARY TCH HOSP  BLACKSBURG    VA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11VT VETERINARY TCH HOSP,Health and Community Services
106,USMLE WORLD              111-111-1111 TXUSMLE WORLD,Retail Trade
107,CHECK CRD PURCHASE 11/11 CITY KIDZ ACADEMY       111-111-1111  FL 111111XXXXXX1111 111111111111111                               ?MCC=1111CITY KIDZ ACADEMY,Retail Trade
108,CHECK CRD PURCHASE 11/11 MDC ROCKWAY PARK        MIAMI         FL 111111XXXXXX1111 111111111111111                               ?MCC=1111MDC ROCKWAY PARK,Retail Trade
109,CHECK CRD PURCHASE 11/11 GCU INTERNET TICKETS    111-111-1111  AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11GCU INTERNET TICKETS,Retail Trade
110,CHECK CRD PURCHASE 11/11 MYSCHOOLACCOUNT.CO      111-111-1111  PA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MYSCHOOLACCOUNT.CO,Retail Trade
111,CHECK CRD PURCHASE 11/11 ZACKS INVESTMENT RESEA  111-1111111   IL 111111XXXXXX1111 111111111111111                               ?MCC=1111 11ZACKS INVESTMENT RESEA,Retail Trade
112,CHECK CRD PURCHASE 11/11 UOFA SOUTH BOOKSTORE    111-1111111   AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11UOFA SOUTH BOOKSTORE,Retail Trade
113,CHECK CRD PURCHASE 11/11 MC ADMISSIONS OFFICE    111-1111111   VT 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MC ADMISSIONS OFFICE,Retail Trade
114,CHECK CRD PUR RTRN 11/11 MCCCD WEB               TEMPE         AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MCCCD WEB,Retail Trade
115,CHECK CRD PURCHASE 11/11 LIL BLESSINGS INC.      PARKER        AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11LIL BLESSINGS INC.,Retail Trade
116,CHECK CRD PURCHASE 11/11 FRENCH CULINARY INST F  111-111-1111  NY 111111XXXXXX1111 111111111111111                               ?MCC=1111 11FRENCH CULINARY INST F,Retail Trade
117,CHECK CRD PURCHASE 11/11 ROGER WILLIAMS UNIVERS  BRISTOL       RI 111111XXXXXX1111 111111111111111                               ?MCC=1111 11ROGER WILLIAMS UNIVERS,Retail Trade
118,CHECK CRD PURCHASE 11/11 URBAN LAND INSTITUTE    111-111-1111  DC 111111XXXXXX1111 111111111111111                               ?MCC=1111 11URBAN LAND INSTITUTE,Retail Trade
119,CHECK CRD PURCHASE 11/11 COLLEG NOTRE DAME MD    111-1111111   OR 111111XXXXXX1111 111111111111111                               ?MCC=1111 11COLLEG NOTRE DAME MD,Health and Community Services
120,CHECK CRD PURCHASE 11/11 SPAN INTERNATIONAL TRA  111-1111111   MO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SPAN INTERNATIONAL TRA,Retail Trade
121,DEBIT CRD PURCHASE 11/11 ALMACENES SIMAN CE      SAN SALVADOR  SV 111111XXXXXX1111 111111111111111                               ?MCC=1111ALMACENES SIMAN CE,Services to Transport
122,CHECK CRD PURCHASE 11/11 UNITEDMARTIALARTSCNTRL  ENGLEWOOD     CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11UNITEDMARTIALARTSCNTRL,Retail Trade
123,CHECK CRD PURCHASE 11/11 WEVILLAGE LLC           PORTLAND      OR 111111XXXXXX1111 111111111111111                               ?MCC=1111 11WEVILLAGE LLC,Retail Trade
124,CHECK CRD PURCHASE 11/11 TADS TUITION AID        111-1111111   MN 111111XXXXXX1111 111111111111111                               ?MCC=1111 11TADS TUITION AID,Retail Trade
125,CHECK CRD PURCHASE 11/11 OUTINGS AND INNINGS     111-1111111   MA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11OUTINGS AND INNINGS,Retail Trade
126,CHECK CRD PURCHASE 11/11 MOUNTIAN VALLEY PH      NEW BRAUNFELS TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MOUNTIAN VALLEY PH,Retail Trade
127,CHECK CRD PUR RTRN 11/11 THE PEAK OF UTAH        PERRY         UT 111111XXXXXX1111 111111111111111                               ?MCC=1111 11THE PEAK OF UTAH,Retail Trade
128,DEBIT CRD PURCHASE 11/11 EUROPHARMA              SAN SALVADOR  SV 111111XXXXXX1111 111111111111111                               ?MCC=1111EUROPHARMA,Services to Transport
129,CHECK CRD PURCHASE 11/11 HANFORD HIGH SCHOOL     111 111111111 CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11HANFORD HIGH SCHOOL,Retail Trade
130,CHECK CRD PURCHASE 11/11 RIDE SMART MOTORCYCLE   PHOENIX       AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11RIDE SMART MOTORCYCLE,Retail Trade
131,CHECK CRD PURCHASE 11/11 CAMELOT                 VANCOUVER     CD 111111XXXXXX1111 111111111111111                               ?MCC=1111 11CAMELOT,Retail Trade
132,CHECK CRD PURCHASE 11/11 MIDWSTRN UNIV 11111111  GLENDALE      AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MIDWSTRN UNIV 11111111,Retail Trade
133,CHECK CRD PURCHASE 11/11 AES OF NEVADA- LAS V    LAS VEGAS     NV 111111XXXXXX1111 111111111111111                               ?MCC=1111 11AES OF NEVADA- LAS V,Retail Trade
134,CHECK CRD PURCHASE 11/11 HAYSVILLE SCHOOL DIST   111-1111111   KS 111111XXXXXX1111 111111111111111                               ?MCC=1111 11HAYSVILLE SCHOOL DIST,Retail Trade
135,CHECK CRD PURCHASE 11/11 PEOPLES KENPO KARATE    LITTLETON     CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11PEOPLES KENPO KARATE,Retail Trade
136,CHECK CRD PURCHASE 11/11 BEST INSURANCE ED       111-111-1111  TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11BEST INSURANCE ED,Finance
137,CHECK CRD PURCHASE 11/11 LIL RASCALS ACADEM      PEMBROKE PNS  FL 111111XXXXXX1111 111111111111111                               ?MCC=1111LIL RASCALS ACADEM,Retail Trade
138,CHECK CRD PUR RTRN 11/11 I DRIVE SAFELY          CARLSBAD      CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11I DRIVE SAFELY,Entertainment
139,CHECK CRD PURCHASE 11/11 OHIO UNION-COMM DSCNT   COLUMBUS      OH 111111XXXXXX1111 111111111111111                               ?MCC=1111 11OHIO UNION-COMM DSCNT,Entertainment
140,CHECK CRD PURCHASE 11/11 ENOUGH IS ENOUGH        111-1111111   VA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11ENOUGH IS ENOUGH,Retail Trade
141,CHECK CRD PURCHASE 11/11 TLC RECREATION CENTER   FORT WALTON B FL 111111XXXXXX1111 111111111111111                               ?MCC=1111 11TLC RECREATION CENTER,Entertainment
142,CHECK CRD PURCHASE 11/11 UK WUKY #1              111-111-1111  KY 111111XXXXXX1111 111111111111111                               ?MCC=1111 11UK WUKY #1,Retail Trade
143,CHECK CRD PURCHASE 11/11 PIONEER ARIZONA FOUNDA  PHOENIX       AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11PIONEER ARIZONA FOUNDA,Retail Trade
144,CHECK CRD PURCHASE 11/11 SMUGMUG PHOTO           111-111-1111  CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SMUGMUG PHOTO,Retail Trade
145,CHECK CRD PURCHASE 11/11 WWW.CIIS.EDU            111-1111111   CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11WWW.CIIS.EDU,Retail Trade
146,CHECK CRD PURCHASE 11/11 KIDS UNLIMITED          TUCSON        AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11KIDS UNLIMITED,Retail Trade
147,CHECK CRD PURCHASE 11/11 AGC COLORADO            DENVER        CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11AGC COLORADO,Retail Trade
148,CHECK CRD PURCHASE 11/11 THE COUNCIL FOR PROFES  111-111-1111  DC 111111XXXXXX1111 111111111111111                               ?MCC=1111 11THE COUNCIL FOR PROFES,Retail Trade
149,CHECK CRD PURCHASE 11/11 DAYDREAM PHOTOGRAPHY    BRUSH         CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11DAYDREAM PHOTOGRAPHY,Retail Trade
150,CHECK CRD PURCHASE 11/11 UNIV ST AUGUSTINE WEB   111-1111111   FL 111111XXXXXX1111 111111111111111                               ?MCC=1111 11UNIV ST AUGUSTINE WEB,Education
151,DEBIT CRD PURCHASE 11/11 HTTP://YOURGRANTKIT.CO  11111111111   MU 111111XXXXXX1111 111111111111111                               ?MCC=1111 11HTTP://YOURGRANTKIT.CO,Retail Trade
